ticker,date,above_ma20,above_ma200,above_ma50,atr,bb_lower,bb_middle,bb_upper,high_52w,low_52w,ma_10,ma_20,ma_200,ma_5,ma_50,ma_alignment,macd,macd_histogram,macd_signal,pct_from_high,pct_from_low,price,return_1d,return_20d,return_5d,rsi,vol_20_avg,vol_ratio,volatility,volume,label,future_return_5d
QQQ,2025-09-24,1,1,1,5.46,562.88,584.14,605.4,602.2,416.06,593.48,584.14,525.06,598.23,574.45,1,-4.301,-3.4408,-0.8602,-1.01,43.27,596.1,-0.35,4.1,1.03,78.64,52624655,0.95,10.63,49850300,0,0.72
QQQ,2025-09-25,1,1,1,5.32,564.09,585.14,606.19,602.2,416.06,594.42,585.14,525.42,597.88,575.17,1,-4.0627,-3.2501,-0.8125,-1.44,42.65,593.53,-0.43,3.49,-0.3,72.88,54324310,1.31,10.52,70920200,0,1.15
QQQ,2025-09-26,1,1,1,5.35,564.87,586.09,607.3,602.2,416.06,595.35,586.09,525.77,597.2,575.86,1,-3.83,-3.064,-0.766,-1.03,43.24,595.97,0.41,3.27,-0.56,72.62,54701785,0.99,10.61,54337400,0,1.22
QQQ,2025-09-29,1,1,1,5.51,566.89,587.5,608.11,602.2,416.06,596.06,587.5,526.15,596.51,576.61,1,-3.9704,-3.1763,-0.7941,-0.58,43.9,598.73,0.46,4.97,-0.58,73.41,54316910,0.89,10.3,48332900,0,0.74
QQQ,2025-09-30,1,1,1,5.47,570.53,589.24,607.95,602.2,416.06,596.98,589.24,526.55,596.94,577.33,1,-4.0892,-3.2713,-0.8178,-0.3,44.3,600.37,0.27,6.14,0.36,74.36,53349760,0.87,9.35,46533800,0,1.22
QQQ,2025-10-01,1,1,1,5.7,573.44,590.9,608.36,603.25,416.06,598.3,590.9,526.92,598.37,578.17,1,-4.8687,-3.8949,-0.9737,0.0,44.99,603.25,0.48,5.82,1.2,74.04,52983230,0.89,8.73,46899600,0,0.21
QQQ,2025-10-02,1,1,1,5.73,575.39,592.42,609.46,605.73,416.06,599.34,592.42,527.31,600.81,579.01,1,-5.8604,-4.6883,-1.1721,0.0,45.59,605.73,0.41,5.3,2.06,73.98,52795185,0.83,8.52,43765400,0,-0.2
QQQ,2025-10-03,1,1,1,5.79,577.89,593.78,609.67,605.73,416.06,599.73,593.78,527.67,602.25,579.77,1,-6.9101,-5.5281,-1.382,-0.42,44.97,603.18,-0.42,4.71,1.21,65.42,51702165,0.9,7.95,46482100,0,1.37
QQQ,2025-10-06,1,1,1,6.06,579.78,595.22,610.67,607.71,416.06,600.28,595.22,528.02,604.05,580.6,1,-7.9897,-6.3918,-1.5979,0.0,46.06,607.71,0.75,4.98,1.5,70.0,51481700,0.82,7.72,41962100,0,-3.0
QQQ,2025-10-07,1,1,1,6.01,582.04,596.42,610.8,607.71,416.06,600.91,596.42,528.37,604.88,581.33,1,-8.9608,-7.1686,-1.7922,-0.53,45.29,604.51,-0.53,4.13,0.69,66.74,52191795,1.12,7.19,58209500,0,-0.41
